# YakuLingo - Glossary File
# Format: source_term,translated_term
(中国KD除く),(excl. China KD)
　為替変更135/USD,FX change 135/USD
(2)AAT製赤字車種,(2) AAT deficit model
　除外(CX-3）,Exclude (CX-3)
(3)基盤収益/部品他,(3) Base revenue/parts
　+10%改善,　+10% improve
補正後,adjusted
上期B/E台数,1H B/E volume
通年換算(×2),Annualized (x2)
基盤収益/,Base rev./
通年換算,Annualized
変動利益単価改善(含む新型CX-5)及び、固定費削減でB/E台数引下げが必要,Improve VP per unit (incl. new CX-5) and reduce FC to lower B/E volume.
営業,Operating
利益,Profit
(千円/台),(k yen/unit)
※<日本B/E台数の補正>,* <JP B/E adjustment>
上期営利,1H OP
台数,volume
※,*
 仕向地別損益分岐点(B/E)台数,Break-even (B/E) by market
FY26/3上期MMVO製損益(181)億円は米墨関税影響(141)億円含む。関税率が半減すれば損益分岐点台数は通期換算196千台,"FY26/3 1H MMVO loss of (181) oku incl. (141) from US/Mex tariffs. If tariff rate halves, BEP (annualized) about 196k units."
MTMUSの関税還付(MSRP 3.5%。年間138億円)については上期未反映（計上時期未定）,"Tariff refund for MTMUS (MSRP 3.5%, annual 138 oku) not reflected in 1H, booking timing undecided. "
FY25/3 2Q対,FY25/3 2Q vs.
基盤収益,Base rev.
/部品,/parts
上期(一過性項目補正後の実績),1H actual after one-off adjustment.
上期(半年),1H
下期(半年),2H
B/E台数,B/E
【FY26/3上期実力値に基づく損益分岐点分析(米国関税軽減 想定ケース)】,Break-even analysis FY26/3 1H actuals (assumed case with lower US tariffs)
ケーススタディ： 日米追加関税 25%→12.5%(9/16以降実現)、米墨関税 25%→15%(想定)を反映した場合のB/E台数,Case study: B/E units if US/Japan tariffs cut from 25%→12.5% (effective after 9/16) and US/Mexico tariffs from 25%→15% (assumed).
関税軽減反映後の上期(半年)の損益分岐点(B/E)台数は590千台。一方、下期公表予定の出荷台数650千台は当該B/E台数を,"B/E units for 1H after tariff cuts are 590k, while planned 2H wholesales of 650k far exceed that. Hitting the"
"大幅に上回る計画。下期営利目標達成(1,039億円、ROS3.9%)には台数目標達成が最重要の成功ファクターとなる","unit target is key to achieving 2H OP goal of 1,039 oku and ROS 3.9%."
一過性補正後,After one-off adjustment.
関税軽減後は米国の平均変動利益単価が高くなり、米国への台数アロケーション増加による連結全体利益への貢献度大,"Tariff cuts lift avg. var. profit per unit in the US, so higher allocation to US drives consolidated profit."
日本向けは、円安コスト高・AAT製赤字の影響控除後の年間B/E台数は###千台。年間200千台で営利黒字となる利益構造には,"For Japan, annual B/E units after yen depreciation cost and AAT loss offset are ###k. To reach OP breakeven at 200k units,"
ラージなど高収益車種拡販による平均変動利益単価改善や基盤収益(中古・整備ほか)強化が必要,"need higher avg. var. profit via large high-margin models and stronger base earnings (used cars, service, etc.)"
＜日米＆米墨関税軽減後＞,<After US/Japan & US/Mexico tariff cuts>
日本向け追加スタディー：輸入部品の円安によるコスト高、およびAAT製変動利益赤字の影響を控除,Additional Japan study: exclude cost increase from yen depreciation on imported parts and var. profit loss from AAT-made units.
200千台を下回るB/E台数実現には高収益車種拡販や基盤収益強化が必要,Achieving B/E units below 200k requires expanding high-margin models and strengthening base earnings.
公表台数,published
一過性項目の補正：,Adjustment for one-off items.
米国CAFÉ引当取崩益 取消し,Reversal of US CAFÉ provision gain
品質マツコネ引当過去修正 取消し,Past warranty provision adj.
一過性項目計,One-off items total
FY26/3上期 仕向地別営業利益(一過性項目補正後),1H FY26 OP by market after one-off adjustment
【仕向地別 損益分岐点台数(ケーススタディー)】 ,【Break-even Volume by Market (Case Study)】
FY26/3上期実績の変動利益・固定費をベースとした損益分岐点台数(B/E台数)を以下2ケースで分析,Analyze B/E volume based on FY26/3 1H variable profit and fixed costs under two cases.
"日米関税率15％で営業利益黒字確保のためには、通年で1,200千台規模の台数が必要","To keep OP positive with 15% US-Japan tariffs, full-year volume must reach about 1,200k units."
下期および来期での営利ROS3%超への利益回復には、コスト改善(変動費/固定費)によるB/E台数の,Profit recovery to over 3% OP ROS in 2H and next FY requires lowering B/E volume through
引き下げとともに、B/E台数を上回る台数成長の実行が必須,cost improvement in variable and fixed costs and achieving volume growth above B/E.
米国向け関税率 日米15%、米墨25%でのB/E台数,Break-even volume at 15% US-Japan and 25% US-Mexico tariffs
FY26/3上期 (実績),FY26/3 1H (actual)
日米のみ,US/JP only
15％反映,15% applied
変動利益＠856,Var. Profit＠856
半期,Half-year
日米/米墨,US-JP/US-MX
変動利益＠894,Var. Profit＠894
※日本向けB/E台数について,  * Japan B/E volume estimate:
米国向け関税率 日米15%、米墨25%でのB/E台数,Break-even volume at 15% US-Japan and 15% US-Mexico tariffs
日本向けは、海外調達部品の円安コスト高やAAT製車のバーツ高による変動利益赤字など固有構造課題あり,Structural issues incl. var. loss from yen-driven imported part costs and baht cost for AAT-made vehicles.
固有構造課題の影響を除外した場合のB/E台数を109千台(半期)、通年換算219千台(x2)と試算,"Excluding these factors, B/E volume is estimated at 109k units for 1H, annualized at 219k units."
年間200千台での営業利益黒字化は実現可能,Achieving OP surplus at 200k units per year is feasible.
【FY26/3 1Q 車種別収益構造】,【FY26/3 1Q Profit Structure by Car Model】
【FY26/3 2Q 車種別収益構造】,【FY26/3 2Q Profit Structure by Car Model】
【FY26/3 3Q 車種別収益構造】,【FY26/3 3Q Profit Structure by Car Model】
【FY26/3 4Q 車種別収益構造】,【FY26/3 4Q Profit Structure by Car Model】
FY26/3 1Q 車種別収益構造(対FY25/3 1Q), FY26/3 1Q Profit Structure by Car Model (vs. FY25/3 1Q)
FY26/3 2Q 車種別収益構造(対FY25/3 2Q), FY26/3 2Q Profit Structure by Car Model (vs. FY25/3 2Q)
FY26/3 3Q 車種別収益構造(対FY25/3 3Q), FY26/3 3Q Profit Structure by Car Model (vs. FY25/3 3Q)
FY26/3 4Q 車種別収益構造(対FY25/3 4Q), FY26/3 4Q Profit Structure by Car Model (vs. FY25/3 4Q)
(為替影響含む、中国KD除く),"(including FX impact, excluding China KD)"
台当り変動利益(千円),Variable profit per unit (k yen)
Roadster:,MX-5:
全車種平均,All Car-line Avg.
出荷台数(千台),Volume(k units)
台当り変動利益,Variable profit per unit
限利/ﾐｯｸｽ他,"Mar. Profit/
Mix etc."
奨励金,VM
材料コスト,"Material
 Cost"
関税影響,"Tariff
impact"
為替,FX Rate
合計,Total
台当り変動利益 対FY25/3 1Q YOY (305)千円の内訳,Detail of variable profit per unit vs. FY25/3 1Q YOY (305) k yen.
内、原材料他(14)、コスト改善16 ,"Of which, Raw material etc. (14), CI 16"
全車種平均  1,All Car-line Avg.  1
(千円),(k yen)
 車種別仕向地別変動利益単価,VP per unit by Car Model / Market
日本,Japan
米国,USA
カナダ,Canada
メキシコ,Mexico
欧州,Europe
豪州,Australia
その他,Other
合計,Total
Roadster,MX-5
その他,Other
平均,Avg.
【FY26/3 車両変動利益単価  仕向地別・車種別 推移】,【FY26/3 Variable Profit (Vehicle) per unit by Market / Car Model  Trend】
為替レート推移, Exchange Rate
変動利益単価推移,VP per unit Trend
 内訳:主要車種を記載,Major car models only
日本,Japan
その他,Other
　計,　Total
固定費単価,Fixed cost / unit
米国,USA
カナダ,Canada
メキシコ,Mexico
欧州,Europe
豪州,Australia
Roadster,MX-5
FY24/3 通期,FY24/3 Full Year
FY25/3 通期,FY25/3 Full Year
FY26/3 1Q,FY26/3 1Q
FY26/3 2Q,FY26/3 2Q
FY26/3 3Q,FY26/3 3Q
FY26/3 4Q,FY26/3 4Q
売上単価,Rev. per unit
変動利益単価,Var. Profit per unit
（千円/台）,(k yen/unit)
台数(千台),Vol.(k unit)
Roadster,MX-5
【FY26/3 1Q 車両変動利益単価  車種別・仕向地別 四半期推移】,【FY26/3 1Q  Variable Profit (Vehicle) per unit by Car Model / Market   Quarterly Trend】
【FY26/3 2Q 車両変動利益単価  車種別・仕向地別 四半期推移】,【FY26/3 2Q  Variable Profit (Vehicle) per unit by Car Model / Market   Quarterly Trend】
【FY26/3 3Q 車両変動利益単価  車種別・仕向地別 四半期推移】,【FY26/3 3Q  Variable Profit (Vehicle) per unit by Car Model / Market   Quarterly Trend】
【FY26/3 4Q 車両変動利益単価  車種別・仕向地別 四半期推移】,【FY26/3 4Q  Variable Profit (Vehicle) per unit by Car Model / Market   Quarterly Trend】
 内訳:主要車種を記載,Major car models only
奨励金,VM
変動利益,Var. Profit
単価,per unit
FY25/3 1Q対,FY25/3 1Q vs.
FY25/3 2Q対,FY25/3 2Q vs.
FY25/3 3Q対,FY25/3 3Q vs.
FY25/3 4Q対,FY25/3 4Q vs.
【FY26/3 1Q　車種別変動利益単価（環境規制費用反映後）　四半期推移】,【FY26/3 1Q  Variable Profit per unit by Model (after reflecting environmental regulation cost) Quarterly Trend】
 車種別台当り変動利益,VP per unit by car model
【全仕向地平均】,【Average of all market】
　車種別台当り単価(千円/台),　P/U by car model (k yen/unit)
 車種別台当り変動利益（環境規制費用反映後）,VP per unit by car model (after environmental cost )
Roadster,MX-5
マツダブランド平均,MC brand average
内訳：主要車種を記載,Major car models only
関税前,Before Tariff
関税影響,Tariff imp
車両,Vehicle
変動利益,VP
環境規制費用,Environmental  regulation cost
小計,Subtotal
　　　　【米国】,　　　　【USA】
　　　　【欧州】,　　　　【Europe】
環境規制,Environmental
費用, regulation cost
FY26/3 上期 台当り車両変動利益 524千円。このうち米国は台当り642千円 (関税影響(503)千円を含む),FY26/3 1H unit vehicle variable profit: 524k yen avg; US: 642k yen incl. tariff impact (503k) yen.
FY26/3 上期 米国関税影響は、9/16以降の日米関税率引き下げ後はMC製車種平均で台当り300千円改善見込み,"FY26/3 1H US tariff impact: post 9/16 rate cut, MC models expected to improve 300k yen/unit."
【FY26/3 2Q　車種別変動利益単価（環境規制費用反映後）　四半期推移】,【Variable Profit per unit by Model (incl. environmental regulation cost) Quarterly Trend】
環境規制費用反映後のFY26/3 2Q台当り変動利益は全仕向平均で504千円。このうち、米国は平均614千円,FY26/3 2Q unit variable profit after env. regulation cost: 504k yen avg (all markets); US avg: 614k yen.
米国でCAFE(罰金ゼロ化)とZEV(26MY以降無効)の緩和決定により2Qは費用減少(利益改善),2Q profit improved due to cost reduction from US CAFE (no penalty) & ZEV (invalid from 26MY) easing.
FY25/3 上期,FY25/3 1H
【FY26/3 上期 車種別収益構造】,【FY26/3 1H Profit Structure by Vehicle Model】
FY26/3 上期 台当り車両変動利益 524 千円 対FY25/3 上期 (233)千円減,FY26/3 1H unit vehicle variable profit: 524k yen; 233k yen lower vs. FY25/3 1H.
(限利/ミックス他+6 千円、販売奨励金減+3 千円、材料コスト+15 千円、関税影響(179)千円、為替(78)千円),"(margin / mix +6k yen, incentive cut +3k yen, material cost +15k yen, tariff impact (179)k yen, FX (78)k yen)."
"車種別:CX-5 823千円(YOY (300)千円),CX-50 315千円(YOY (361)千円),CX-60 1,069千円(YOY (42)千円)","CX-5: 823k (YOY (300)k) yen, CX-50: 315k (YOY (361)k) yen, CX-60: 1,069k (YOY (42)k) yen."
"　         CX-70 603千円(YOY (1,576)千円),CX-80 1,343千円(YOY (764)千円),CX-90 737千円(YOY (687)千円)","CX-70: 603k (YOY (1,576)k) yen, CX-80: 1,343k (YOY (764)k) yen, CX-90: 737k (YOY (687)k) yen."
FY25/3 上期,FY25/3 1H
FY26/3 上期,FY26/3 1H
FY26/3 上期 車種別収益構造(対FY25/3 上期),FY26/3 model profit structure (vs FY25/3 1H)
全車種平均 : 757,Avg all : 757
全車種平均 : 524,Avg all : 524
台当り変動利益 対FY25/3 上期 YOY (233)千円の内訳,Per unit variable profit vs FY25/3 1H YOY (233)k yen
内、原材料他(4)、コスト改善19 ,Raw materials(4)/cost improve19
FY25/3 2Q対,FY25/3 2Q vs.
【FY26/3 2Q 奨励金・車両変動利益単価  車種別・仕向地別 四半期推移】,【FY26/3 2Q  VM・Variable Profit (Vehicle) per unit by Car Model / Market   Quarterly Trend】
FY26/3 2Q 台当り車両変動利益 540千円。対FY25/3 2Q比(159)千円の悪化,FY26/3 2Q unit vehicle variable profit: 540k yen; down (159)k yen vs. FY25/3 2Q.
FY26/3 2Q 7G CX系 台当り車両変動利益は358千円となり、6G CX系 915千円を下回った,"FY26/3 2Q unit vehicle variable profit: 7G CX 358k yen, below 6G CX 915k yen."
上期 YOY,1H YOY
車種別,model
関税,Tariff
影響,Impact
影響除く,Adjusted
FY25/3 2Q対,FY25/3 2Q vs.
1Q,1Q
2Q,2Q
3Q,3Q
4Q,4Q
【変動利益・固定費・損益分岐点　通期推移】,"【Variable Profit, Fixed Cost, BEP  Full-Year Trend】"
 変動利益/固定費 時系列," Variable Profit, Fixed Cost Trend"
出荷台数,Wholesales
(千台),(k units)
売上高,Revenue
(億円),(oku)
変動利益,Var. Profit
車両限界利益,Vehicle Mar. Profit
販売奨励金,VM
 車両変動利益,Var. Profit (Vehicle)
中国KD,China KD
OEM / 部品他,OEM/Parts etc.
欧州CO2/ZEV,Europe CO2/ZEV
米国-GHG,US-GHG
欧州CO2/ZEV/GHG,Europe CO2/ZEV/GHG
　計,　Total
固定費,Fixed Cost
固定販促費,Fixed Marketing
研究開発費,R&D Expense
品質関連費用,Warranty
減価償却費他,Depre./Amort.
社外要具費,Vendor Tooling
労務費,Labor
米国販売網投資,U.S. Sales Network
その他,Other
　計,　Total
特別損失振替,Loss transfer to extraordinary loss
ロシア関連引当,Russia provisions
営業利益,Operating Profit
※MTM/AAT固定費含む,※ including MTM/AAT Fixed cost
 損益分岐点売上高／台数, BEP Revenue / Volume
損益分岐点売上高,BEP Revenue
実績売上との差異, vs actual
(億円),(oku)
損益分岐点台数,BEP Volume
実績台数との差異 , vs actual
(千台),(k units)
損益分岐点比率,BEP Ratio
台当り,P/U 
売上高　,Revenue　
(千円/台）,(k yen/unit)
車両変動利益,Var. Profit(Vehicle)
固定費、部品他,"Fixed Cost, Parts etc."
"営業利益 (L24,25除く評価)","Operating  Profit 
(exclude line24, 25)"
公表案,Pub
対FY25/3,vs. FY25/3
※１ネット関税影響除く損益分岐点台数は933千台,※1 BEP volume without net tariff impact is 933k units.
【仕向地別営業利益比較 対FY25/3 1Q】,【Operating Profit Comparison by Market vs. FY25/3 1Q】
対FY25/3 1Q 営業利益 仕向地別比較, VS. FY25/3 1Q Operating Profit by Market
対FY25/3 2Q 営業利益 仕向地別比較, VS. FY25/3 2Q Operating Profit by Market
対FY25/3 3Q 営業利益 仕向地別比較, VS. FY25/3 3Q Operating Profit by Market
対FY25/3 4Q 営業利益 仕向地別比較, VS. FY25/3 4Q Operating Profit by Market
台数,Vol.
連結出荷台数,Wholesales
売上高,Revenue
（億円）,(oku)
変動利益,Var. Profit
車両,Veh.
[要因内訳],[break down by factor]
台数増減,Volume
限利/ミックス,Mar. Profit / Mix
US/CAN関税影響,US/CAN tariff
為替/市況他,FX / Market price
販売奨励金,VM
単価変動,P/U Change
台数/為替他,Vol. / FX
　変動利益,　Var. Profit
OEM/KD/部品他,OEM/KD/Parts etc.
MTM/AAT固定費,MTM/AAT Fixed cost
欧州CO2/ZEV/GHG,Europe CO2/ZEV/GHG
UPI他,UPI etc.
計,Total
固定費,Fixed Cost
子会社,Subsidiary
固定販促費,Fixed Marketing
研究開発費,R&D Expense
品質関連費用,Warranty
減価償却費,Depre./Amort.
労務費,Labor
米国販売投資,U.S. Sales network
その他,Other
為替影響除く計,Total (excl. FX)
MC･製造拠点共通固定費,"Common fixed costs
 (MC / production sites)"
特損振替/ロシア引当他,Reclass to extra. Loss
営業利益,Operating Profit
仕向地別営業利益比較,Operating Profit Comparison by Market 
日本,Japan
米国,USA
カナダ,Canada
メキシコ,Mexico
欧州,Europe
豪州,Australia
その他,Other
連調他,Cons. Adj.
【米国車両変動利益単価（追加関税・環境規制費用反映後）】,【US Variable profit per vehicles (after reflecting additional tariffs and environmental regulation costs)】
　(量販モデルを記載),(Mass production models)
限界利益,Marginal profit
奨励金,VM
関税影響,Tariffs impact
変動利益単価(CVP),Var. profit  per unit (CVP)
環境規制費用(GHG),Environmental regulations(GHG)
Net CVP単価,Net CVP per unit
MMVO製 車両変動利益 単価(千円/台),MMVO-made Vehicle var. profit per unit (k yen/unit)
MC・MTMUS製　車両変動利益 単価(千円/台),MC・MTMUS-made Vehicle var. profit per unit (k yen/unit)
"FY26/3通期見通しの損益分岐点台数は、関税影響などによる変動利益悪化▲1,717億円が固定費改善350億円","FY26/3 full-year break-even point volume: 1,112k units, up 141k from prior 970k, as variable profit decline from"
"を上回り1,112千台となり、前期970千台から141千台増加。但し、関税影響を除く場合の損益分岐点台数は","tariff impact ((1,717) oku yen) exceeds fixed cost improvement (350 oku yen)."
固定費改善効果により909千台(前期比61千台減少)となり、レジリエンシーは改善,"Excluding tariff impact: 909k units, down (61)k, resiliency improves."
営業利益 (L23除く評価),Op. Profit (excl. L23)
※１ 関税影響除く損益分岐点台数は909千台,*1 Break-even point volume excl. tariffs: 909k units.
上期,1H
【仕向地別営業利益比較 対FY25/3 上期】,【Operating Profit Comparison by Market vs. FY25/3 1H】
"FY26/3 上期 営業利益は(539)億円とFY25/3 上期に対して(1,569)億円の悪化","FY26/3 1H op. profit: (539) oku, down (1,569) oku vs. FY25/3 1H."
"限界利益は関税影響(971)億円、為替/市況(528)億円の悪化により、(1,889)億円の悪化","Margin down (1,889) oku from tariffs (971) oku and FX/market (528) oku."
固定費(MC・子会社)はFY25/3 上期に対して277億円の改善,Fixed cost (MC & subs): improved 277 oku vs. FY25/3 1H.
 対FY25/3 上期 営業利益 仕向地別比較, VS. FY25/3 1H Operating Profit by Market
※１,*1
【FY26/3 変動利益、固定費時系列 四半期推移】,【FY26/3 Variable Profit and Fixed Cost  Quarterly Trend】
 変動利益、固定費内訳," Var. Profit, Fixed Cost"
(千台/億円),(k units/oku)
為替,FX Rate
出荷台数(千台),Wholesales (k units)
損益分岐点台数(千台）,BEP Volume (k units)
売上高(億円),Revenue (oku)
車両限界利益,Vehicle Mar. Profit
販売奨励金,VM
車両変動利益,Vehicle Var. Profit
中国KD,China KD
OEM/部品他,OEM/Parts etc.
MTM/AAT固定費,MTM/AAT Fixed cost
欧州CO2/ZEV/GHG,"Europe CO2, ZEV,GHG"
連結調整,Cons. adj.
変動利益 計,Variable Profit Total
固定販促費,Fixed Marketing
研究開発費,R&D Expense
品質関連費用,Warranty
減価償却費他,Depre. / Amort. etc.
社外要具費,Vendor Tooling
労務費,Labor
米国販売網投資,U.S. Sales Network
その他,Other
固定費,Fixed Cost
ロシア関連引当 他,Russia provision etc.
営業利益,Fixed Cost
販売奨励金/固定販促費,VM / Fixed Marketing
 台当り単価内訳, Detail of Per-Unit Price
台当り単価(千円/台),P/U Price (k yen/unit)
売上高,Revenue
車両限界利益,Vehicle Mar. Profit
販売奨励金,VM
車両変動利益,Vehicle Var. Profit
固定費,Fixed Cost
部品他,Parts etc.
営業利益 (L29除く評価),Operating Profit (exclude line29)
対 FY25/3 1Q,vs. FY25/3 1Q
対 FY25/3 4Q,vs. FY25/3 4Q
限利/ﾐｯｸｽ他,Mar. Profit / Mix
奨励金,VM
材料コスト,Material Cost
小計,Sub Total
関税影響,Tariff impact
為替,FX
合計,Total
FY25/3 1Q 対,FY25/3 1Q vs.
FY25/3 2Q 対,FY25/3 2Q vs.
FY25/3 3Q 対,FY25/3 3Q vs.
FY25/3 4Q 対,FY25/3 4Q vs.
台当り変動利益増減内訳,Var. Profit P/U  I/(D)
FY26/3 上期は営業利益ROS(2.4%)で対前年(6.7)%悪化。営業利益ROS(2.4%)の内訳は車両変動利益ROS 12.7%、,"For FY26/3 1H, operating profit ROS was 2.4%, down from (6.7)% in prior 1H. "
固定費(18.5)%、その他 3.4%,"Breakdown: vehicle variable profit ROS 12.7%, fixed cost (18.5)%, others 3.4%."
車両変動利益はFY25/3 上期 18.7%に対し､主に米国追加関税影響により(6.0)%悪化(上期の関税影響は▲971億円),"Vehicle variable profit down (6.0)% vs. FY25/3 1H 18.7%, mainly from US tariffs (impact (971) in 1H)."
固定費は絶対値ではFY25/3 上期より277億円改善し、売上減少の中、ROSは前年上期並みを維持,"Fixed cost improved 277 oku yen vs. FY25/3 1H; despite lower sales, ROS stayed near prior-year 1H level."
FY26/3 上期の台当り車両変動利益は524千円。対前年上期比較(233)千円の悪化。為替(78)千円、関税影響(179)千円を,"FY26/3 1H per unit vehicle variable profit: 524k yen, down (233)k YOY. Excluding FX (78)k and tariff (179)k,"
除くと24千円の改善。但し、対1Q比較では為替と関税影響を除くと(41)千円悪化。," improvement of 24k. However, vs. 1Q, excluding FX and tariff, deterioration of (41)k."
FY25/3 上期 対,FY25/3 1H vs.
FY26/3 1Q 対,FY26/3 1Q vs.
FY26/3 上期,FY26/3 1H
上期,1H
"内、為替(78)、内,関税影響 (179)","Incl. FX (78)k,
incl. tariff impact (179)k"
内、為替58、内、関税影響 15,"Incl. FX 58,
incl. tariff impact 15"
対 FY25/3 1H,vs. FY25/3 1H
